match_id,Team_1,Team_2,Match_Date,Ground,Winner,Margin
T20I # 1823,Namibia,Sri Lanka,"Oct 16, 2022",Geelong,Namibia,55 runs
T20I # 1825,Netherlands,U.A.E.,"Oct 16, 2022",Geelong,Netherlands,3 wickets
T20I # 1826,Scotland,West Indies,"Oct 17, 2022",Hobart,Scotland,42 runs
T20I # 1828,Ireland,Zimbabwe,"Oct 17, 2022",Hobart,Zimbabwe,31 runs
T20I # 1830,Namibia,Netherlands,"Oct 18, 2022",Geelong,Netherlands,5 wickets
T20I # 1832,Sri Lanka,U.A.E.,"Oct 18, 2022",Geelong,Sri Lanka,79 runs
T20I # 1833,Ireland,Scotland,"Oct 19, 2022",Hobart,Ireland,6 wickets
T20I # 1834,West Indies,Zimbabwe,"Oct 19, 2022",Hobart,West Indies,31 runs
T20I # 1835,Netherlands,Sri Lanka,"Oct 20, 2022",Geelong,Sri Lanka,16 runs
T20I # 1836,Namibia,U.A.E.,"Oct 20, 2022",Geelong,U.A.E.,7 runs
T20I # 1837,Ireland,West Indies,"Oct 21, 2022",Hobart,Ireland,9 wickets
T20I # 1838,Scotland,Zimbabwe,"Oct 21, 2022",Hobart,Zimbabwe,5 wickets
T20I # 1839,Australia,New Zealand,"Oct 22, 2022",Sydney,New Zealand,89 runs
T20I # 1840,Afghanistan,England,"Oct 22, 2022",Perth,England,5 wickets
T20I # 1841,Ireland,Sri Lanka,"Oct 23, 2022",Hobart,Sri Lanka,9 wickets
T20I # 1842,India,Pakistan,"Oct 23, 2022",Melbourne,India,4 wickets
T20I # 1843,Bangladesh,Netherlands,"Oct 24, 2022",Hobart,Bangladesh,9 runs
T20I # 1844,South Africa,Zimbabwe,"Oct 24, 2022",Hobart,no result,
T20I # 1845,Australia,Sri Lanka,"Oct 25, 2022",Perth,Australia,7 wickets
T20I # 1846,England,Ireland,"Oct 26, 2022",Melbourne,Ireland,5 runs
T20I # 1846a,Afghanistan,New Zealand,"Oct 26, 2022",Melbourne,abandoned,
T20I # 1847,Bangladesh,South Africa,"Oct 27, 2022",Sydney,South Africa,104 runs
T20I # 1848,India,Netherlands,"Oct 27, 2022",Sydney,India,56 runs
T20I # 1849,Pakistan,Zimbabwe,"Oct 27, 2022",Perth,Zimbabwe,1 run
T20I # 1849a,Afghanistan,Ireland,"Oct 28, 2022",Melbourne,abandoned,
T20I # 1849b,Australia,England,"Oct 28, 2022",Melbourne,abandoned,
T20I # 1850,New Zealand,Sri Lanka,"Oct 29, 2022",Sydney,New Zealand,65 runs
T20I # 1851,Bangladesh,Zimbabwe,"Oct 30, 2022",Brisbane,Bangladesh,3 runs
T20I # 1852,Netherlands,Pakistan,"Oct 30, 2022",Perth,Pakistan,6 wickets
T20I # 1853,India,South Africa,"Oct 30, 2022",Perth,South Africa,5 wickets
T20I # 1855,Australia,Ireland,"Oct 31, 2022",Brisbane,Australia,42 runs
T20I # 1856,Afghanistan,Sri Lanka,"Nov 1, 2022",Brisbane,Sri Lanka,6 wickets
T20I # 1858,England,New Zealand,"Nov 1, 2022",Brisbane,England,20 runs
T20I # 1859,Netherlands,Zimbabwe,"Nov 2, 2022",Adelaide,Netherlands,5 wickets
T20I # 1860,Bangladesh,India,"Nov 2, 2022",Adelaide,India,5 runs
T20I # 1861,Pakistan,South Africa,"Nov 3, 2022",Sydney,Pakistan,33 runs
T20I # 1862,Ireland,New Zealand,"Nov 4, 2022",Adelaide,New Zealand,35 runs
T20I # 1864,Australia,Afghanistan,"Nov 4, 2022",Adelaide,Australia,4 runs
T20I # 1867,England,Sri Lanka,"Nov 5, 2022",Sydney,England,4 wickets
T20I # 1871,Netherlands,South Africa,"Nov 6, 2022",Adelaide,Netherlands,13 runs
T20I # 1872,Bangladesh,Pakistan,"Nov 6, 2022",Adelaide,Pakistan,5 wickets
T20I # 1873,India,Zimbabwe,"Nov 6, 2022",Melbourne,India,71 runs
T20I # 1877,New Zealand,Pakistan,"Nov 9, 2022",Sydney,Pakistan,7 wickets
T20I # 1878,England,India,"Nov 10, 2022",Adelaide,England,10 wickets
T20I # 1879,England,Pakistan,"Nov 13, 2022",Melbourne,England,5 wickets
