match_id,match,teamInnings,battingPos,batsmanName,out/not_out,runs,balls,4s,6s,SR
T20I # 1823,Namibia Vs Sri Lanka,Namibia,1,Michael van Lingen,out,3,6,0,0,50.00
T20I # 1823,Namibia Vs Sri Lanka,Namibia,2,Divan la Cock,out,9,9,1,0,100.00
T20I # 1823,Namibia Vs Sri Lanka,Namibia,3,Jan Nicol Loftie-Eaton,out,20,12,1,2,166.66
T20I # 1823,Namibia Vs Sri Lanka,Namibia,4,Stephan Baard,out,26,24,2,0,108.33
T20I # 1823,Namibia Vs Sri Lanka,Namibia,5,Gerhard Erasmus(c),out,20,24,0,0,83.33
T20I # 1823,Namibia Vs Sri Lanka,Namibia,6,Jan Frylinck,out,44,28,4,0,157.14
T20I # 1823,Namibia Vs Sri Lanka,Namibia,7,David Wiese,out,0,1,0,0,0.00
T20I # 1823,Namibia Vs Sri Lanka,Namibia,8,JJ Smit,not_out,31,16,2,2,193.75
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,1,Pathum Nissanka,out,9,10,1,0,90.00
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,2,Kusal Mendis,out,6,6,0,0,100.00
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,3,Dhananjaya de Silva,out,12,11,1,0,109.09
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,4,Danushka Gunathilaka,out,0,1,0,0,0.00
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,5,Bhanuka Rajapaksa,out,20,21,2,0,95.23
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,6,Dasun Shanaka(c),out,29,23,2,1,126.08
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,out,4,8,0,0,50.00
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,8,Chamika Karunaratne,out,5,8,0,0,62.50
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,9,Pramod Madushan,out,0,0,0,0,-
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,10,Dushmantha Chameera,out,8,15,0,0,53.33
T20I # 1823,Namibia Vs Sri Lanka,Sri Lanka,11,Maheesh Theekshana,not_out,11,11,0,1,100.00
T20I # 1825,U.A.E. Vs Netherlands,U.A.E.,1,Chirag Suri,out,12,20,1,0,60.00
T20I # 1825,U.A.E. Vs Netherlands,U.A.E.,2,Muhammad Waseem,out,41,47,1,2,87.23
T20I # 1825,U.A.E. Vs Netherlands,U.A.E.,3,Kashif Daud,out,15,14,0,1,107.14
T20I # 1825,U.A.E. Vs Netherlands,U.A.E.,4,Vriitya Aravind,out,18,21,0,0,85.71
T20I # 1825,U.A.E. Vs Netherlands,U.A.E.,5,Zawar Farid,out,2,4,0,0,50.00
T20I # 1825,U.A.E. Vs Netherlands,U.A.E.,6,Basil Hameed,out,4,4,1,0,100.00
T20I # 1825,U.A.E. Vs Netherlands,U.A.E.,7,Chundangapoyil Rizwan(c),out,1,2,0,0,50.00
T20I # 1825,U.A.E. Vs Netherlands,U.A.E.,8,Aayan Afzal Khan,out,5,7,0,0,71.42
T20I # 1825,U.A.E. Vs Netherlands,U.A.E.,9,Karthik Meiyappan,not_out,0,0,0,0,-
T20I # 1825,U.A.E. Vs Netherlands,U.A.E.,10,Junaid Siddique,not_out,0,1,0,0,0.00
T20I # 1825,U.A.E. Vs Netherlands,Netherlands,1,Vikramjit Singh,out,10,7,2,0,142.85
T20I # 1825,U.A.E. Vs Netherlands,Netherlands,2,Max O'Dowd,out,23,18,3,1,127.77
T20I # 1825,U.A.E. Vs Netherlands,Netherlands,3,Bas de Leede,out,14,18,1,0,77.77
T20I # 1825,U.A.E. Vs Netherlands,Netherlands,4,Colin Ackermann,out,17,19,1,0,89.47
T20I # 1825,U.A.E. Vs Netherlands,Netherlands,5,Tom Cooper,out,8,16,0,0,50.00
T20I # 1825,U.A.E. Vs Netherlands,Netherlands,6,Scott Edwards(c),not_out,16,19,0,0,84.21
T20I # 1825,U.A.E. Vs Netherlands,Netherlands,7,Roelof van der Merwe,out,0,2,0,0,0.00
T20I # 1825,U.A.E. Vs Netherlands,Netherlands,8,Tim Pringle,out,15,16,0,0,93.75
T20I # 1825,U.A.E. Vs Netherlands,Netherlands,9,Logan van Beek,not_out,4,4,0,0,100.00
T20I # 1826,Scotland Vs West Indies,Scotland,1,George Munsey,not_out,66,53,9,0,124.52
T20I # 1826,Scotland Vs West Indies,Scotland,2,Michael Jones,out,20,17,3,0,117.64
T20I # 1826,Scotland Vs West Indies,Scotland,3,Matthew Cross,out,3,5,0,0,60.00
T20I # 1826,Scotland Vs West Indies,Scotland,4,Richie Berrington(c),out,16,14,0,1,114.28
T20I # 1826,Scotland Vs West Indies,Scotland,5,Calum MacLeod,out,23,14,4,0,164.28
T20I # 1826,Scotland Vs West Indies,Scotland,6,Michael Leask,out,4,6,0,0,66.66
T20I # 1826,Scotland Vs West Indies,Scotland,7,Chris Greaves,not_out,16,11,2,0,145.45
T20I # 1826,Scotland Vs West Indies,West Indies,1,Kyle Mayers,out,20,13,3,1,153.84
T20I # 1826,Scotland Vs West Indies,West Indies,2,Evin Lewis,out,14,13,1,1,107.69
T20I # 1826,Scotland Vs West Indies,West Indies,3,Brandon King,out,17,15,3,0,113.33
